Company Name,State,Hospital Name,Asset No.,Asset Type Code,Asset Type Description,Manufacturer,Model,Serial No,User Department Code,User Department Name,User Area Code,User Area Name,User Location Code,User Location Name,Asset Status,Real Time Status,POC Flag,Power Supply (PSU) - Cleaning,Fan & Filter Check&Clean,Battery Check,Wire Rope Check,Railing (longitude & Transverse),QA Sticker Validity,Telescopic Arm ,Pulley,Guard Filter Check,Meter Gauge Check,Light Indicator Check,Water Pump Check,Total Maintenance Activity
Medivest,Negeri Sembilan,Tuanku Jaafar,NSN001/000028,18-108,"Scanning Systems, Magnetic Resonance Imaging, Full-Body",Siemens Medical Systems,Magnetom Avanto,169620,I01,Imaging and Diagnostic,DEX,Jabatan X-ray,01-G-349,DEX - MRI,Active,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,NSN001/000029,25-209,"Monitors, Physiologic, Vital Signs",Shenzhen Mindray Bio-Medical Electronics Co Ltd,Mindray Vs-600,,T04,Training - Medical Assistant,KPP,Kolej Pembantu Perubatan,36-G-000,Blok Pentadbiran Dan Dewan kuliah,Active,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,NSN001/000030,17-968,"Injectors, Contrast Media",Medtron AG,Accutron Ct-D,880017225,I01,Imaging and Diagnostic,DEX,Jabatan X-ray,01-G-349,DEX - MRI,Active,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,NSN001/000031,17-679,Laser Imagers,Fujifilm Corp,Drypix 4000 Plus,76515948,I01,Imaging and Diagnostic,DEX,Jabatan X-ray,01-G-349,DEX - MRI,Active,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,NSN001/000034,15-309,"Training Manikins, Cardiopulmonary Resuscitation",Laerdal Medical Corp,Laerdal Airway Management Trainer,,T04,Training - Medical Assistant,KPP,Kolej Pembantu Perubatan,36-G-000,Blok Pentadbiran Dan Dewan kuliah,Active,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,NSN001/000038,16-294,Training Aids,Laerdal Medical AS,MamaNatalie 340-00333,N/A,T04,Training - Medical Assistant,KPP,Kolej Pembantu Perubatan,36-G-000,Blok Pentadbiran Dan Dewan kuliah,Active,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,NSN001/000039,25-209,"Monitors, Physiologic, Vital Signs",GE Medical Systems,Dinamap Procare 300,AAW04440052SA,A06,Anesthesiology,OTR,Dewan Bedah,01-3-023,OTR - KETUA JURURAWAT,Active,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,NSN001/000047,13-217,"Infusion Pumps, Syringe",Terumo Corp,Terufusion TE-331,8010055,P01,Pediatric,WCM2A,Wad Pediatrik 1 (wad Melor 2a),2-WP-121,Equipment Room,Active,Functioning,Yes,No,No,1,No,No,No,No,No,No,No,No,No,1
Medivest,Negeri Sembilan,Tuanku Jaafar,NSN001/000048,10-447,"Warming Units, Blood/Solution",Hotech Instruments Corp,Hotech F1w-4250-Vt2,13A20047,P01,Pediatric,WCM2A,Wad Pediatrik 1 (wad Melor 2a),2-WP-121,Equipment Room,Active,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,NSN001/000051,15-657,"Scanning Systems, Ultrasonic, Obstetric/Gynecologic",Siemens Medical Solutions Inc,Siemens Lc 230,510554,O01,Obstetric & Gynecology,WCLDP,Ldc - Unit Penilaian Pesakit,G-LD-PC3,UNIT PENILAIAN PESAKIT,Active,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,NSN001/000055,18-426,"Radiographic Units, Dental Intraoral",Satelec Sa,Satelec X-Mind Dc,D32037,D01,Dental,DEN,Jabatan Pergigian,25-01-116,DEN - KLINIK PAKAR DENTAL,Active,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,NSN001/000074,17-950,"Warming Units, Patient, Forced-Air",The 37 Co,Mistral-Air Plus,171058139,I02,In-patient Care Services,W5C,Wad 5c,01-5-055,W5C - BILIK RAWATAN,Active,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,NSN001/000075,17-950,"Warming Units, Patient, Forced-Air",The 37 Co,Mistral-Air Plus,171058140,I02,In-patient Care Services,W5C,Wad 5c,01-5-055,W5C - BILIK RAWATAN,Active,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,NSN001/000076,17-950,"Warming Units, Patient, Forced-Air",The 37 Co,Mistral-Air Plus,170452318,I02,In-patient Care Services,W4C,Wad 4c,01-4-025,W4C - WAD CCU,Active,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,NSN001/000077,17-950,"Warming Units, Patient, Forced-Air",The 37 Co,Mistral-Air Plus,180160507,I02,In-patient Care Services,W4C,Wad 4c,01-4-025,W4C - WAD CCU,Active,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,NSN001/000078,17-950,"Warming Units, Patient, Forced-Air",The 37 Co,Mistral-Air Plus,180160516,I02,In-patient Care Services,W5C,Wad 5c,01-5-055,W5C - BILIK RAWATAN,Active,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,NSN001/000079,17-950,"Warming Units, Patient, Forced-Air",The 37 Co,Mistral-Air Plus,180160514,I02,In-patient Care Services,W4C,Wad 4c,01-4-025,W4C - WAD CCU,Active,Functioning,No,,,,,,,,,,,,,
Medivest,Negeri Sembilan,Tuanku Jaafar,NSN001/000080,17-950,"Warming Units, Patient, Forced-Air",The 37 Co,Mistral-Air Plus,171058124,I02,In-patient Care Services,W4C,Wad 4c,01-4-025,W4C - WAD CCU,Active,Functioning,No,,,,,,,,,,,,,
